claim_id,claimant_name,claim_amount,claim_date,claim_status,policy_number,incident_date,claim_description,claim_type,adjuster_name,settlement_amount,settlement_date,coverage_type,deductible_amount,payment_method,Vehicle_ID,customer_id,LocationID
 CLM-2645  ,Benjamin Lawling,Yuan Renminbi,1/7/2020,denied,47053,5/8/2021,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",health,Cleveland Babbidge,Real,7/21/2021,collision,Yuan Renminbi,credit card, VEH-1098  , CUS-6009  , LOC-7518  
 CLM-3668  ,Ashien McEttigen,Sol,1/16/2021,pending,12944,12/13/2020,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",auto,Benedick Beszant,Rand,10/11/2020,liability,Real,check, VEH-5419  , CUS-3996  , LOC-1955  
 CLM-9627  ,Brade Malt,Krona,6/3/2021,approved,51122,7/24/2020,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",auto,Brew Alwood,Ruble,7/6/2020,liability,Koruna,credit card, VEH-9856  , CUS-9610  , LOC-5408  
 CLM-8891  ,Alphonse Magovern,Rupiah,11/5/2021,denied,39496,5/30/2019,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,auto,Edy Elwell,Ruble,11/10/2020,liability,Dram,direct deposit, VEH-5893  , CUS-9915  , LOC-4628  
 CLM-6166  ,Lenora Tytterton,Ruble,5/8/2020,pending,39318,5/20/2020,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",auto,Geoff Riceards,Euro,7/13/2020,comprehensive,Guarani,credit card, VEH-1842  , CUS-0885  , LOC-9640  
 CLM-3132  ,Danni Danser,Naira,8/19/2020,approved,46063,4/13/2021,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",auto,Latia Bachelor,Ruble,8/1/2021,collision,Dinar,credit card, VEH-9246  , CUS-0720  , LOC-7568  
 CLM-5892  ,Rodrique Kynett,Euro,8/10/2020,pending,41524,11/2/2021,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",home,Orsola Iacovaccio,Yuan Renminbi,1/15/2021,collision,Euro,direct deposit, VEH-9215  , CUS-0370  , LOC-4582  
 CLM-2843  ,Deeann Jorczyk,Peso,8/26/2020,approved,27306,3/9/2019,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",auto,Quill Ivanyukov,Euro,7/31/2020,liability,Rupiah,credit card, VEH-2103  , CUS-7192  , LOC-6660  
 CLM-7223  ,Lucky Tenbrug,Yen,7/8/2021,approved,85748,11/13/2021,Phasellus in felis. Donec semper sapien a libero. Nam dui.,health,Priscilla Weiser,Yuan Renminbi,8/7/2020,liability,Tugrik,direct deposit, VEH-6987  , CUS-9865  , LOC-8128  
 CLM-0297  ,Antonia Duker,Shilling,6/12/2021,pending,69146,7/17/2021,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",home,Israel Samper,Euro,12/17/2021,comprehensive,Rand,credit card, VEH-6344  , CUS-0923  , LOC-1634  
 CLM-0512  ,Beryl Plummer,Krone,1/12/2020,denied,69823,8/4/2021,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,health,Webster Monnery,Euro,1/10/2020,comprehensive,Yuan Renminbi,credit card, VEH-1347  , CUS-0508  , LOC-2563  
 CLM-5628  ,Taffy Janu,Rupiah,5/4/2021,denied,65543,7/21/2019,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",home,Nerty Skaif,Boliviano,7/10/2020,liability,Yen,credit card, VEH-0869  , CUS-7844  , LOC-7005  
 CLM-6903  ,Almeda Machon,Sol,10/11/2020,denied,33170,10/2/2019,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,health,Sharai Marten,Ringgit,4/13/2021,collision,Yuan Renminbi,credit card, VEH-8114  , CUS-9414  , LOC-0488  
 CLM-4086  ,Estevan Swalteridge,Euro,5/3/2021,approved,95486,11/5/2020,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,home,Sabrina Dulany,Euro,2/8/2020,collision,Peso,direct deposit, VEH-3980  , CUS-9570  , LOC-9244  
 CLM-5970  ,Sashenka Blakey,Tenge,8/19/2020,approved,75733,6/22/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",health,Patrizia Bastock,Yuan Renminbi,11/1/2021,collision,Euro,direct deposit, VEH-0698  , CUS-9719  , LOC-1464  
 CLM-2485  ,Jessalin Earle,Rupiah,1/16/2020,denied,19835,9/25/2019,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",auto,Shandy Vellden,Rupiah,5/10/2020,collision,Peso,check, VEH-6644  , CUS-8435  , LOC-3031  
 CLM-0335  ,Charo Seamen,Afghani,9/5/2021,denied,34447,10/6/2021,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",health,Saleem Vasilmanov,Zloty,1/14/2020,liability,Dollar,credit card, VEH-6780  , CUS-6289  , LOC-4342  
 CLM-2224  ,Justine Pfertner,Yen,6/24/2020,denied,26521,6/16/2019,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",health,Liesa Tendahl,Rupiah,6/12/2020,comprehensive,Yuan Renminbi,check, VEH-8033  , CUS-7955  , LOC-9217  
 CLM-4267  ,Garvy Stoaks,Rupiah,10/28/2020,approved,47965,7/4/2020,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",auto,Patrice Ivatt,Rupiah,8/5/2020,liability,Rupiah,direct deposit, VEH-5385  , CUS-6771  , LOC-0488  
 CLM-8405  ,Cher Murname,Ruble,12/20/2021,pending,81093,1/14/2019,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",health,Becca Roseby,Yuan Renminbi,9/4/2021,liability,Dinar,direct deposit, VEH-8041  , CUS-0770  , LOC-3103  
 CLM-6802  ,Nowell Spurryer,Rial,8/20/2020,approved,25565,9/6/2019,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",auto,Kerianne Josephy,Yuan Renminbi,11/16/2021,comprehensive,Ruble,check, VEH-5590  , CUS-7614  , LOC-1073  
 CLM-7572  ,Raul Babbs,Dinar,7/27/2020,approved,39715,4/26/2020,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",auto,Eyde Rosenblatt,Rupiah,9/1/2020,comprehensive,Euro,check, VEH-4658  , CUS-4232  , LOC-9881  
 CLM-5307  ,Ulla Swadlinge,Ariary,7/17/2020,approved,21482,2/9/2019,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,home,Annissa Harborow,Som,3/23/2020,liability,Yuan Renminbi,check, VEH-3572  , CUS-2712  , LOC-2300  
 CLM-1313  ,Shayla Piller,Rupiah,9/22/2020,denied,65933,9/14/2020,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",health,Englebert Shelborne,Pound,9/17/2021,liability,Taka,direct deposit, VEH-7907  , CUS-3327  , LOC-7349  
 CLM-3682  ,Jerrie Edney,Yuan Renminbi,1/1/2020,pending,81704,12/22/2019,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",home,Theobald Puffett,Rupiah,4/16/2020,liability,Euro,credit card, VEH-9244  , CUS-8745  , LOC-7439  
 CLM-7063  ,Charmian Jex,Rupiah,9/19/2021,denied,94976,11/8/2019,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,auto,Edd Jerrams,Peso,12/21/2021,collision,Naira,credit card, VEH-7483  , CUS-5831  , LOC-9269  
 CLM-7119  ,Trstram Lux,Yuan Renminbi,5/7/2021,approved,76203,5/12/2021,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",auto,Lilly Verlinde,Yuan Renminbi,10/12/2021,collision,Pula,check, VEH-1015  , CUS-7014  , LOC-2171  
 CLM-2620  ,Homerus MacKeig,Real,9/1/2020,approved,13388,12/28/2021,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,auto,Davon Fero,Baht,12/12/2020,collision,Rupiah,direct deposit, VEH-7961  , CUS-9877  , LOC-5375  
 CLM-4987  ,Myca Kleinerman,Yuan Renminbi,9/30/2020,approved,41560,7/19/2021,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",home,Sheff Abramow,Euro,8/30/2020,collision,Dinar,direct deposit, VEH-9587  , CUS-3093  , LOC-3854  
 CLM-9155  ,Jacquetta Manning,Yuan Renminbi,6/8/2020,pending,57765,7/22/2019,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",auto,Mordy Denslow,Franc,1/27/2021,collision,Yuan Renminbi,direct deposit, VEH-4664  , CUS-3543  , LOC-1233  
 CLM-6059  ,Giulia Wharfe,Pula,11/6/2020,approved,69671,8/25/2020,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",home,Elana Younie,Bolivar,5/6/2020,comprehensive,Yuan Renminbi,direct deposit, VEH-5342  , CUS-3752  , LOC-8053  
 CLM-3059  ,Sandra Jablonski,Koruna,6/24/2020,pending,63081,7/16/2019,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",health,Lotte Geroldi,Rupiah,10/12/2021,liability,Peso,check, VEH-8775  , CUS-6163  , LOC-2640  
 CLM-7838  ,Jacquie Rosenstengel,Real,9/15/2021,pending,17196,6/2/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",home,Netti Hannibal,Peso,1/12/2020,comprehensive,Peso,credit card, VEH-2628  , CUS-0174  , LOC-2077  
 CLM-9990  ,Arty Heaviside,Peso,5/15/2020,denied,45297,11/17/2021,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",health,Chlo Kilcullen,Dollar,7/3/2020,comprehensive,Rupiah,direct deposit, VEH-2156  , CUS-0171  , LOC-6035  
